행정구역,2013년_거주자 인구수,2013년_세대수,2013년_세대당 인구,2013년_남자 인구수,2013년_여자 인구수,2013년_남여 비율,2014년_거주자 인구수,2014년_세대수,2014년_세대당 인구,2014년_남자 인구수,2014년_여자 인구수,2014년_남여 비율,2015년_거주자 인구수,2015년_세대수,2015년_세대당 인구,2015년_남자 인구수,2015년_여자 인구수,2015년_남여 비율,2016년_거주자 인구수,2016년_세대수,2016년_세대당 인구,2016년_남자 인구수,2016년_여자 인구수,2016년_남여 비율,2017년_거주자 인구수,2017년_세대수,2017년_세대당 인구,2017년_남자 인구수,2017년_여자 인구수,2017년_남여 비율,2018년_거주자 인구수,2018년_세대수,2018년_세대당 인구,2018년_남자 인구수,2018년_여자 인구수,2018년_남여 비율,2019년_거주자 인구수,2019년_세대수,2019년_세대당 인구,2019년_남자 인구수,2019년_여자 인구수,2019년_남여 비율,2020년_거주자 인구수,2020년_세대수,2020년_세대당 인구,2020년_남자 인구수,2020년_여자 인구수,2020년_남여 비율,2021년_거주자 인구수,2021년_세대수,2021년_세대당 인구,2021년_남자 인구수,2021년_여자 인구수,2021년_남여 비율,2022년_거주자 인구수,2022년_세대수,2022년_세대당 인구,2022년_남자 인구수,2022년_여자 인구수,2022년_남여 비율
전국  (1000000000),50663727,20040783,2.53,25330055,25333672,1,50862589,20319658,2.5,25418917,25443672,1,51040849,20595660,2.48,25497198,25543651,1,51185094,20870348,2.45,25558431,25626663,1,51276314,21221082,2.42,25595073,25681241,1,51325445,21633887,2.37,25608849,25716596,1,51349402,22074502,2.33,25609835,25739567,0.99,51349116,22705906,2.26,25602326,25746790,0.99,51317389,23224940,2.21,25575878,25741511,0.99,51200910,23524371,2.18,25504206,25696704,0.99
서울특별시  (1100000000),9989672,4055777,2.46,4925496,5064176,0.97,9952313,4070234,2.45,4899810,5052503,0.97,9861997,4061404,2.43,4847170,5014827,0.97,9760080,4057239,2.41,4789275,4970805,0.96,9688721,4090276,2.37,4745276,4943445,0.96,9596993,4134389,2.32,4690012,4906981,0.96,9560956,4198987,2.28,4661515,4899441,0.95,9505868,4294290,2.21,4623790,4882078,0.95,9401888,4347242,2.16,4563718,4838170,0.94,9355332,4393573,2.13,4532400,4822932,0.94
부산광역시  (2600000000),3488719,1369241,2.55,1726562,1762157,0.98,3482069,1387745,2.51,1720938,1761131,0.98,3475554,1403671,2.48,1715802,1759752,0.98,3459282,1416980,2.44,1705569,1753713,0.97,3432384,1434399,2.39,1690216,1742168,0.97,3403753,1447898,2.35,1673625,1730128,0.97,3376566,1465837,2.3,1657053,1719513,0.96,3356587,1500271,2.24,1644092,1712495,0.96,3330119,1528132,2.18,1628484,1701635,0.96,3303295,1544285,2.14,1612001,1691294,0.95
대구광역시  (2700000000),2481553,942028,2.63,1234651,1246902,0.99,2474092,953180,2.6,1230251,1243841,0.99,2468271,964871,2.56,1226204,1242067,0.99,2464659,976705,2.52,1223030,1241629,0.99,2456078,989999,2.48,1217194,1238884,0.98,2442979,1004883,2.43,1209040,1233939,0.98,2419301,1015037,2.38,1195126,1224175,0.98,2401110,1041808,2.3,1184035,1217075,0.97,2373789,1054162,2.25,1169062,1204727,0.97,2355187,1063844,2.21,1157750,1197437,0.97
인천광역시  (2800000000),2851777,1094820,2.6,1432268,1419509,1.01,2875563,1113031,2.58,1443144,1432419,1.01,2897521,1130078,2.56,1453307,1444214,1.01,2913582,1146965,2.54,1460668,1452914,1.01,2919710,1165251,2.51,1463203,1456507,1,2926237,1190070,2.46,1465855,1460382,1,2928403,1215427,2.41,1466310,1462093,1,2915839,1246355,2.34,1459257,1456582,1,2927910,1282832,2.28,1464968,1462942,1,2952014,1310685,2.25,1476149,1475865,1
광주광역시  (2900000000),1463770,555413,2.64,725433,738337,0.98,1467023,565133,2.6,726716,740307,0.98,1463159,572456,2.56,724918,738241,0.98,1459903,578369,2.52,723272,736631,0.98,1454639,584898,2.49,720535,734104,0.98,1450304,595255,2.44,717894,732410,0.98,1447382,608621,2.38,716003,731379,0.98,1441552,626253,2.3,713010,728542,0.98,1436183,641134,2.24,709872,726311,0.98,1426350,648377,2.2,704369,721981,0.98
대전광역시  (3000000000),1521699,574809,2.65,760643,761056,1,1521080,582790,2.61,760073,761007,1,1507699,587182,2.57,753142,754557,1,1503049,596274,2.52,750598,752451,1,1491531,605404,2.46,744751,746780,1,1479233,615793,2.4,738143,741090,1,1464306,626323,2.34,730521,733785,1,1454011,644468,2.26,725153,728858,0.99,1445245,658726,2.19,720467,724778,0.99,1440724,669098,2.15,717919,722805,0.99
울산광역시  (3100000000),1149742,425341,2.7,591448,558294,1.06,1159891,436234,2.66,597157,562734,1.06,1166800,445529,2.62,600970,565830,1.06,1165829,449512,2.59,600063,565766,1.06,1158865,452919,2.56,595854,563011,1.06,1149498,456241,2.52,590317,559181,1.06,1141912,463174,2.47,586217,555695,1.05,1130315,471787,2.4,580482,549833,1.06,1117766,479281,2.33,573865,543901,1.06,1107434,483338,2.29,568263,539171,1.05
세종특별자치시  (3600000000),121267,49210,2.46,61745,59522,1.04,155274,62010,2.5,78423,76851,1.02,209946,80960,2.59,105267,104679,1.01,242038,93470,2.59,120995,121043,1,279046,108598,2.57,139207,139839,1,313055,122855,2.55,156292,156763,1,339434,134441,2.52,169262,170172,0.99,354705,143316,2.47,176998,177707,1,371138,153048,2.42,185271,185867,1,382844,158822,2.41,190971,191873,1
경기도  (4100000000),12133582,4625958,2.62,6102230,6031352,1.01,12258795,4702083,2.61,6164173,6094622,1.01,12416183,4796785,2.59,6240722,6175461,1.01,12602784,4911852,2.57,6333311,6269473,1.01,12759911,5041152,2.53,6414223,6345688,1.01,12962945,5216237,2.49,6517111,6445834,1.01,13124519,5378823,2.44,6599590,6524929,1.01,13315895,5590335,2.38,6697616,6618279,1.01,13481995,5780629,2.33,6782604,6699391,1.01,13524342,5866572,2.31,6802858,6721484,1.01
